Sentencas,Intencoes
Acrescenta mais essa camiseta cinza aqui,Adicionar
"Por favor, poderia incluir no meu carrinho essa camiseta cinza?",Adicionar
"Poderia incluir essa camiseta preta, por favor?",Adicionar
Se possível colocar mais esse moletom preto,Adicionar
"Por favor, se possível adiciona esse moletom cinza também",Adicionar
Coloca também essa camiseta rosa,Adicionar
E mais essa camiseta cinza também,Adicionar
Junto com todas coloca também essa camiseta cinza,Adicionar
"Gostei dessa camiseta preta, pode incluir também",Adicionar
Inclui na compra essa camisa azul aqui,Adicionar
Junto a essa vai também essa camiseta preta,Adicionar
Poderia também acrescentar essa camisa rosa?,Adicionar
Pode jogar no bolo essa calça cargo por favor,Adicionar
Joga essa camiseta azul junto,Adicionar
Vc pode adicionar essa regata cinza?,Adicionar
Vc pode incluir essa camiseta preta?,Adicionar
Pd colocar pra mim fznd favor essa camiseta azul?,Adicionar
Fznd favor vc pode colocar no meu carrinho essa regata preta?,Adicionar
Se possível coloca também essa camisa azul,Adicionar
Se der pra colocar essa regata azul,Adicionar
Seria daora se ainda desse pra incluir essa camiseta preta,Adicionar
Faz o seguinte bota também essa calça junto pra mim,Adicionar
Dá pra colocar essa calça moletom também?,Adicionar
Vc consegue incluir no carrinho essa camisa azul?,Adicionar
Gostaria de ter no meu carrinho essa regata cinza,Adicionar
