Sentencas,Intencoes
Gostaria de comentar sobre o atendimento de vocês,Reclamar
Quero registrar uma queixa,Reclamar
Gostaria de dar um feedback positivo,Reclamar
Tive uma boa experiência com uma compra onde posso registrar?,Reclamar
Quero registrar meu depoimento sobre a loja,Reclamar
Quero dar um retorno sobre a minha compra,Reclamar
Não tive uma experiência boa com a loja,Reclamar
Tive uma experiência boa com a loja,Reclamar
Quero registrar uma crítica,Reclamar
Onde posso deixar um parecer sobre minha compra?,Reclamar
Gostaria de dar uma ideia,Reclamar
Onde registro uma avaliação?,Reclamar
Gostaria de dar algumas ideias,Reclamar
Quero deixar meu ponto de vista sobre algumas coisas,Reclamar
Tenho alguns pensamentos onde posso registrá-los?,Reclamar
Quero escrever meu posicionamento,Reclamar
Aprecio muito o trabalho de vocês onde posso registrar minha opinião?,Reclamar
Tenho algumas teses em aberto gostaria de registrá-las,Reclamar
Não gostei da forma como fui atendido,Reclamar
Adorei o atendimento de vocês,Reclamar
Posso dar um palpite?,Reclamar
Sei de alguns pontos que podem ser melhorados,Reclamar
Quero deixar um depoimento que pode vir a somar,Reclamar
Vou processar vocês,Reclamar
Não irei recomendar essa loja pra ninguém,Reclamar
Irei recomendar a loja pra todo mundo,Reclamar
Nunca fui tão mal atendido,Reclamar
Nunca fui tão bem atendido,Reclamar
Essa é a melhor loja de todas,Reclamar
Essa é a pior loja de todas,Reclamar
Irei divulgar o quão bem fui atendido em todas as redes sociais,Reclamar
Nunca vi um estabelecimento com um atendimento tão ruim,Reclamar
Vou expor o quão péssimo é o atendimento dessa loja,Reclamar
O serviço de vocês é detestável,Reclamar
O atendimento mais desagradável de todos,Reclamar
O atendimento mais agradável de todos,Reclamar
Nunca me aborreci tanto tentando comprar em uma loja,Reclamar
Vocês são perfeitos a entrega chegou perfeita,Reclamar
Adorei a gentileza dos funcionários,Reclamar
Detestei a loja,Reclamar
Adorei a loja,Reclamar
Quero finalizar meu pedido,Finalizar
Quero pagar minha compra,Finalizar
Então já fecha pra mim,Finalizar
Vou fechar então,Finalizar
Certo quero pagar,Finalizar
Vou finalizar por aqui,Finalizar
Vamos prosseguir para o pagamento,Finalizar
Quanto deu tudo?,Finalizar
Qual o total da compra?,Finalizar
Quero dar continuidade para o pagamento,Finalizar
Acho que já está bom,Finalizar
Quanto fico a brincadeira?,Finalizar
Fecha pra mim chefe,Finalizar
Vou fechar o carrinho,Finalizar
Posso prosseguir para o pagamento?,Finalizar
Como faz pra pagar?,Finalizar
Quais os métodos de pagamento?,Finalizar
Traz a conta por favor,Finalizar
A conta!,Finalizar
Fecha a compra,Finalizar
Vou levar tudo,Finalizar
Poderia me passar a conta?,Finalizar
Poderia me enviar pra página de pagamento?,Finalizar
Eu gostaria de pagar,Finalizar
Pode fechar a compra?,Finalizar
Passa no crédito pra mim,Finalizar
Vocês aceitam débito?,Finalizar
Manda a chave Pix fazendo favor,Finalizar
Qual o PIX de vocês?,Finalizar
Ainda aceitam paypal?,Finalizar
Consigo pagar com mercado pago?,Finalizar
Faz o boleto por favor,Finalizar
Me faz um boleto,Finalizar
Fecha o boleto pra mim!,Finalizar
"Fechou, então vou pagar",Finalizar
"Demorou, quero pagar então",Finalizar
"Daora, manda o pix ai",Finalizar
Quanto ficou o rombo?,Finalizar
E a brincadeira vai ficar em quanto?,Finalizar
Onde paga?,Finalizar
Como paga?,Finalizar
Vc pode me enviar pro pagamento?,Finalizar
Qual o link para pagamento?,Finalizar
A loja aceita cheque?,Finalizar
Acho que já está bom,Finalizar
Tem desconto?,Finalizar
No boleto é mais barato?,Finalizar
Vou levar só essas,Finalizar
Passa essas ai pra mim então,Finalizar
Embrulha essas peças por favor,Finalizar
Gostaria de adicionar três camisetas vermelhas ao meu carrinho,Adicionar
Olá! Preciso de 2 moletons cinza escuro,Adicionar
"Opa, coloca ai no carrinho 3 camisetas manga longa",Adicionar
Vou querer camiseta de manga comprida azul,Adicionar
Também quero comprar uma camiseta regata,Adicionar
Vou comprar então essa camiseta,Adicionar
Acrescenta pra mim essa blusa azul,Adicionar
Poe junto essa regata aqui,Adicionar
Somado a essas também quero colocar essa camiseta rosa,Adicionar
Adiciona no carrinho 2 camisetas pretas,Adicionar
"Chefia, bota ai no carrinho essa calça cargo por favor",Adicionar
Me vê 2 regatas brancas,Adicionar
Escorrega pro carrinho esse moletom cinza,Adicionar
Inclui na minha compra mais essa camiseta azul,Adicionar
Joga ai no carrinho essa camisa cinza,Adicionar
Faltou essa camisa azul aqui,Adicionar
"Por favor, adicione ao meu carrinho essa blusa preta",Adicionar
Vc pode colocar pra mim essa camiseta branca?,Adicionar
Eu poderia adicionar mais essa ao carrinho?,Adicionar
Joga ai na minha compra mais essa aqui,Adicionar
Posso acrescentar mais essa a compra?,Adicionar
"Salve, coloca ai pra mim essa regata rosa",Adicionar
Oi coloca essa camiseta pra mim junto?,Adicionar
Coloca tudo junto essas camisetas pretas aqui,Adicionar
"Salve, bota ai essa blusa marrom",Adicionar
Acrescenta mais essa camiseta cinza aqui,Adicionar
"Por favor, poderia incluir no meu carrinho essa camiseta cinza?",Adicionar
"Poderia incluir essa camiseta preta, por favor?",Adicionar
Se possível colocar mais esse moletom preto,Adicionar
"Por favor, se possível adiciona esse moletom cinza também",Adicionar
Coloca também essa camiseta rosa,Adicionar
E mais essa camiseta cinza também,Adicionar
Junto com todas coloca também essa camiseta cinza,Adicionar
"Gostei dessa camiseta preta, pode incluir também",Adicionar
Inclui na compra essa camisa azul aqui,Adicionar
Junto a essa vai também essa camiseta preta,Adicionar
Poderia também acrescentar essa camisa rosa?,Adicionar
Pode jogar no bolo essa calça cargo por favor,Adicionar
Joga essa camiseta azul junto,Adicionar
Vc pode adicionar essa regata cinza?,Adicionar
Vc pode incluir essa camiseta preta?,Adicionar
Pd colocar pra mim fznd favor essa camiseta azul?,Adicionar
Fznd favor vc pode colocar no meu carrinho essa regata preta?,Adicionar
Se possível coloca também essa camisa azul,Adicionar
Se der pra colocar essa regata azul,Adicionar
Seria daora se ainda desse pra incluir essa camiseta preta,Adicionar
Faz o seguinte bota também essa calça junto pra mim,Adicionar
Dá pra colocar essa calça moletom também?,Adicionar
Vc consegue incluir no carrinho essa camisa azul?,Adicionar
Gostaria de ter no meu carrinho essa regata cinza,Adicionar
